字段标识,字段描述,字段名称,数据类型,字段取值示例,出现次数,值集校验取值,字段含义解读,报送税局字段层级,交叉校验规则,最小字符长度,最大字符长度,最小小数位精度,最大小数位精度,来源文档,来源页码
BT-1,Unique identification account,Account number,Identifier,120-221-1,1..1,,"Unique identification account Ordinal number required by Article 226(2) of Directive 2006/112/EC, VAT Act [2], for the unique identification of invoices in a business context, timeframe, operating system and records Seller. It can be based on one or more sequences of numbers, which may contain alphanumeric characters. No identification scheme is used.","Invoice: /Invoice/cbc:ID
CreditNote: /CreditNote/cbc:ID",BR-2 The account must have an account number (BT-1). | HR-BR-1 The account number must not contain whitespace characters,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,11
HR-BT-1,Indicate whether the invoice is a copy of an invoice that has already been sent or the original (sent for the first time),Invoice Copy Indicator,Boolean (true | false),true,0..1,"true|false; Remark: Specify ""true"" if a copy of the invoice with the same invoice number is sent","Indicate whether the invoice is a copy of an invoice that has already been sent or the original (sent for the first time) In accordance with the Fiscalization Act Remark: Specify ""true"" if a copy of the invoice with the same invoice number is sent","Invoice: /Invoice/cbc:CopyIndicatorSpecify""true""
CreditNote: /CreditNote/cbc:CopyIndicatorifacopyofthe",,4,5,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,11
BT-2,The date on which it was issued account.,Invoice date,Date,2025-01-01,1..1,,The date on which it was issued account.,"Invoice: /Invoice/cbc:IssueDate
CreditNote: /CreditNote/cbc:IssueDate",BR-3 The invoice must have a date of issue (BT-2).,10,10,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,11
HR-BT-2,Time of invoicing,Invoicing Time,Time,12:00:00,1..1,,Time of invoicing In accordance with the Fiscalization Act,"Invoice: /Invoice/cbc:IssueTime
CreditNote: /CreditNote/cbc:IssueTime",HR-BR-2 The invoice must have an invoice issuance time (HR-BT-2).,8,8,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,11
BT-3,The code to be specified A functional type of account.,Account type code,Code,380,1..1,UNTDID 1001; 326 – Partial account; 380 – Commercial Account; 383 – Debit; 384 – Corrective account; 386 – Advance account; 394 – Leasing account; 381 – Approval,"The code to be specified A functional type of account. Trading accounts and approvals are defined according to the provisions of UNTDID 1001 [3]. Other determinants of UNTDID 1001 [3] may be used with specific accounts, if applicable","Invoice: /Invoice/cbc:InvoiceTypeCode
CreditNote: /CreditNote/cbc:CreditNoteTypeCode",BR-4 The account must have a code (code) of the account type (BT-3).,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,11
BT-5,Currency in which all amounts are indicated Apart from the total number of The amount of VAT in the accounting currency.,Account Currency Code,Code,EUR,1..1,ISO 4217,"Currency in which all amounts are indicated Apart from the total number of The amount of VAT in the accounting currency. Only one account must be used currency, except for the total amount of VAT in the accounting currency (BT-111) in accordance with Article 230 of Directive 2006/112/EC, and the VAT Act [2]. The list of valid currencies is registered with the ISO 4217 Codes for the Display of Currencies and Money.","Invoice: /Invoice/cbc:DocumentCurrencyCode
CreditNote: /CreditNote/cbc:DocumentCurrencyCode",BR-5 The account must have an account currency code (BT-5).,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,"11,12"
BT-6,"Currency used for VAT calculation purposes, and The report, which is accepted or required in Seller's country.",VAT Calculated Currency Code,Code,USD,0..1,ISO 4217; Remark: Specify if it differs from the currency code account,"Currency used for VAT calculation purposes, and The report, which is accepted or required in Seller's country. It is used in combination with the total amount of VAT in accounting currency (BT-111) when the VAT currency code is different from the invoice currency code. The list of valid currencies is registered with the ISO 4217 Codes for the Display of Currencies and Money. See Article 230 of Council Directive 2006/112/EC of the VAT Act [2] for more information. Remark: Specify if it differs from the currency code account","Invoice: /Invoice/cbc:TaxCurrencyCodeSpecifyifit
CreditNote: /CreditNote/cbc:TaxCurrencyCodediffersfrom",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,12
BT-7,"The date of commencement of the VAT liability for both the seller and the buyer to the extent that this date can be determined and differs from the date of issue of the invoice, in accordance with the VAT Directive.",Date of occurrence of value added tax,Date,2025-01-01,0..1,ISO 4217,"The date of commencement of the VAT liability for both the seller and the buyer to the extent that this date can be determined and differs from the date of issue of the invoice, in accordance with the VAT Directive. The date on which the tax becomes chargeable is usually the date on which the goods are supplied or when the services are completed (the 'chargeable date'). There are also some variations. See Article 226 (7) of Council Directive 2006/112/EC of the VAT Act [2] for more information. This element is mandatory if the date on which value added tax becomes chargeable is different from the date on which the invoice was issued. Both the Buyer and the Seller should use the date of occurrence of the tax liability, when the Seller states it. The use of BT-7 and BT-8 are mutually exclusive.","Invoice: /Invoice/cbc:TaxPointDate
CreditNote: /CreditNote/cbc:TaxPointDate",,10,10,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,12
BT-8,On the date of occurrence of the VAT obligation for the seller and for the buyer.,On the date of occurrence of the value added tax liability,Code,3,0..1,UNTDID 2005; 3 - Invoice Issue Date; 35 - Date of actual delivery; 432 – Payment date,On the date of occurrence of the VAT obligation for the seller and for the buyer. The code must distinguish the following items from the UNTDID 2005 [3]: - Date of Invoicing - The actual date of delivery. - Paid so far The date of occurrence of the value added tax liability is used if the date of occurrence of the value added tax liability is not known at the time of issuing the invoice. The use of BT-8 and BT-7 are mutually exclusive.,"Invoice: /Invoice/cac:InvoicePeriod/cbc:DescriptionCode
CreditNote: /CreditNote/cac:InvoicePeriod/cbc:DescriptionCode",,,,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,12
BT-9,The date on which the payment It's due for payment.,Payment due date,Date,2025-01-31,0..1,,The date on which the payment It's due for payment. The payment due date reflects the due date of the net payment. For partial the first net maturity date. An appropriate description of the more complex payment terms can be provided in BT-20 Payment Terms.,"Invoice: /Invoice/cbc:DueDate
CreditNote: /CreditNote/cac:PaymentMeans/cbc:PaymentDueDate","HR-BR-4 In the case of a positive amount due for payment (BT-115), the due date of payment (BT-9) must be indicated.",10,10,,,Specification-of-the-usecase-of-eInvoice-with-HR-extensions.pdf,12
